id,rating,review_text
41,5,I have seen this movie a number of times but this was the first time in a theater. The print is very clear and it was nice to see in this format.
42,5,Well the movie itself is brilliant and seeing it on the big screen was fabulous. Thank you Cinemark.
43,5,A pure classic. Just awesome finally seeing it on the big screen!
44,5,"well made, touching show"
45,5,"Love this movie, a timeless favorite!"
46,5,"The best, like always"
47,5,Atticus is a true gentleman and our generation can learn a lot from him.
48,4,"Now and then there is a movie that does more than just represent humanity it shapes it. This one has been out there for a while on a must-see movie, but I never understood it beyond it being Superman's favorite movie. It took me a while to make time for it and in the end, it was well worth it. Scout and Jem Finch are two kids out enjoying their young lives in rural Depression-era Alabama. Like most innocent kids of their time, they learn the ways of the world while just having fun and being raised by their father, a lawyer with impeccable quality for right and wrong given where he lives as he ends up being put into a trial that teaches his children a great deal regarding the lack of humanity for black people in the South. Atticus Finch defends Tom Robinson, a black man accused of raping a young white woman. Despite the idea that an accused is innocent until proven guilty, it is obvious that Tom Robinson is innocent, and his only crime is that he is a black man desired by a white woman he had spurned. That alone in the white rural South is despised and disgusted by the ignorant and hateful people of this area. Justice is served if one could call it that as the Finch family live and learn with such honesty and righteousness. I watched this and loved it with all my heart. With great acting from not just Academy Award-winning Gregory Peck but also the kids who show that talent is not just limited to adults. But it is the story that earns its place as a timeless treasure that should be seen by all ages."
49,5,Very Very Very Very Very Very Very Very Very Very beautiful.
50,3.5,A poignant novel deserves a moving and inspiring adaptation and that's exactly what To Kill a Mockingbird achieved through fantastic performances.
