id,rating,review_text
23,4.5,"89%. 9/12/25. (Hadn't seen reviews). Really good film. More notes on the film in Notes app. Very intense from the start. Love how the last horcrux is in Hogwartz so most of the film takes place there. Cool scene with Proferror Mcgonnagal steps up to defend Harry against Snape and he flies away and she calls him a coward. Interesting twist discovering after V sacrifices Snape for the elder wand how Snape actually loved Harry's mom and wanted to protect Harry throughout. Also, how D and Snape plotted D's death so V would completely trust him. Really strong film. Love how they incorporate all of the characters from the film franchise. Lot of great moments. 5/5 rewatch"
24,5,I can’t wait to rewatch these from the first movie all the way through again. So much fun
25,4.5,I really love this movie and everything HP
26,5,The Deathly Hallows Part 2 is in my personal opinion the best Harry Potter movie in the entire series. This cinematic work of art breathed all new life into the Harry Potter franchise just in time for the end of an era. The Battle of Hogwarts is a work of cinematic genius. 10/10.
27,5,"Epic! I had given up on following the films in this franchise, but now I decided to finish it. And I came to the conclusion that it’s the greatest and the best of them all. There isn’t a single bad film — everything was made with care and great attention to detail. It was an incredible journey. I hope the series maintains the same level, although I find it hard to separate the faces of the main actors from the characters they brought to life."
28,5,An amazing ending to one of the best movie/book franchises in the planet.
29,5,It’s the perfect final movie and the battle of Hogwarts is the best battle in this franchise and also the gringotts scene is great. In this movie is everything is great
30,5,"A touching ending, and although unexpected, Severus's redemption is very good. In the books, you don't really empathize with him, but in the movies, you do."
31,4.5,Satisfying conclusion to the series. So many people getting nice endings. Devastating with the off screen deaths of so many important characters.
32,5,An amazing ending to an amazing franchise.
33,5,"I watched deathly hallows part 2 in theatre in 2011 when I was 18 and cried like I never before probably never will for any movie, i stumbled into deathly hallows 2 streaming again, even after 14 years still this movie leaves me with an awe for an absolute story this is and thanks to director David yates who was just bang on with this movie. In the world of game of thrones , lord of the ring ,breaking bad and marvel infinity saga there is something magical about harry potter movies that just leaves you with your heart tickled."
